date,title,url,source_name,language,keyword,event_name,relevance_label,risk_score
2020-03-10,Gas prices plummet amid COVID-19 concerns; parts of DC region see below $2 - FOX 5 DC,https://news.google.com/rss/articles/CBMiogFBVV95cUxQbEdxRkhYbXNLd1BKLUpDMEZ4TVFYRGVGalpTMHdEalNnZ3VZakNYaW05V05FS2tJeHlKUWVtbDlQM09EcEJ0Wm1lRUU2RXlCN3NnVm9IZDI0X19pYkZ3SklhRlZoaE1LWlk0MWJTb3YzWkt6Ni1kWnc0cHZ0WXlBMmk4d3Fic1haSzlUdUdlQV9JeXVCQ3V6X0hYWTBaWHk5dGfSAacBQVVfeXFMTmRSQ2JndjdfOWRUYmhWZ1BETmpnQmlZS0pWUWE4QW9JeHI4NGp5akxXZmJwWExzRHdmZlVvWFVJa0hvSGctVGpXTmdoRkRmRGtjRlY4Sl9MWmJnRUwxbzU2YnRPTndhUTh0T0R6dzNJcFpNSmxaaU5Vd1VSTEFUdV9UQmt2eENubzFqU3N2WG1fc0Y3LV9uNkNRaGZobzVXSkp1RWlsWTA?oc=5,FOX 5 DC,en,COVID gasoline price,covid19_pandemic,relevant,0
2020-03-10,Oil price wars in a time of COVID-19 - CEPR,https://news.google.com/rss/articles/CBMia0FVX3lxTFBMSThXckJFSmo4UjZocnZhZlVBdUNScEF2N2RCQnhXNllhY2poN1g0eHVmVm9QTXgtV3RfUEcxYjlnREFwZWItdUtxTGpScXJqQzJZUGVyRU51azVDQ1l3VTl1VDV2aW0ySDFB?oc=5,CEPR,en,COVID oil price,covid19_pandemic,relevant,3
2020-03-11,"Gas drops below $2 a gallon in several Tennessee cities, and it's not just about coronavirus - The Leaf Chronicle | Clarksville, TN",https://news.google.com/rss/articles/CBMi2wFBVV95cUxOaG5UR3hwMmQ3b3A1QlA0MG1SZW95M0VHSHVDSEpPLUNJaVZQcDJMeVUtbmlvSE1ZQWlDTktNM01XRElPalVOblhIa2tZbVlqdm4ybWc3ZThybGVwNlZBNkVXYjZGTzhYd2ZKX3JtZ2dhRjM4NGtsNjZ3eGhUcXgxMHlHQkdfSk41UkEwcl9MRFNYd2R2SW5BV0t4VFZUQS1veHRLUHlQbk9FdnMzdHRTYXpLLVhBYklhd01Udnp0RFBJcXpkaC12MkRNeENaeXVab2lrZ0l5dkFjNTg?oc=5,"The Leaf Chronicle | Clarksville, TN",en,COVID gasoline price,covid19_pandemic,relevant,0
2020-03-11,Answers to Six Key Questions About the Oil Price Collapse - Time Magazine,https://news.google.com/rss/articles/CBMiaEFVX3lxTE5KaG05UVZEY1dKTXRkdkJrbHVJZHBaajdWNlZOSU9LbEQ0REdxSEFXNHVBeko2RFBfTWR1TmU4RC1RV1dSbDdTLUtONWpwOUwycjRlam5QTW5NYjFoRUZzWEVDSGtaWG43?oc=5,Time Magazine,en,COVID oil price,covid19_pandemic,relevant,0
2020-03-11,The oil sector takes its next hit: Coronavirus on offshore rigs - Fortune,https://news.google.com/rss/articles/CBMiggFBVV95cUxOUy1rVnNGYzNHaVNiNDlid0dPZ1oyVXJKSTBnaVdIbXZDR2FQczMwbmh3VF8zYkxITmFuN2E3Zk00RnRfSkZLN1g2b200NjFQZERYb2hpd2dxX2ZRMFhxREhmUjFwOVVJRVdFNmhlZEd1el9oTjFFV3FlOU0xVTM2S1lR?oc=5,Fortune,en,coronavirus crude oil,covid19_pandemic,relevant,0
2020-03-11,The coronavirus in Iran: A nudge off the cliff? - dw.com,https://news.google.com/rss/articles/CBMihAFBVV95cUxNNG9XaDRDNnNYRjJ6TGp4dXpBMmtrMy1STzZob2t2MFg1UFZIMlRwRFptTVFLbkVIWFlsQWc1X2hvR1MwNi1DcU10T2xkU083SFZRNXAtRDdvYjUtRzFZc3pJb0ZWRmFvX1RRakF6MmpLdkpTN1gzQ3BXXzZiUGdidlh3Y0HSAYQBQVVfeXFMTzNkOUg4RExlbzF6cjY3aG5rcU5NVDFvbEJnVmg4NnRLR1pNUkR0ZjZOeU9qQ005cnpTZWgyNnBDTHpqNE9UUTdidzNNRHlXaTZyd2ZPTWZhT3FlLVFGdzBVY3NPZXgyOGVCQkpXMVlxSXBvdEN4UkxqYnVuWkIyOWJZUEZu?oc=5,dw.com,en,coronavirus crude oil,covid19_pandemic,relevant,2
2020-03-13,Coronavirus fallout could be the ‘nail in the coffin’ for smaller oil companies - grist.org,https://news.google.com/rss/articles/CBMipgFBVV95cUxNMG1LQktoekQ5eS03RC1ReHFLVWY3SllQM1ZsRGd0ajduLVV6M1ItNHphUHZyYkhMeWp5RG1qN2pUX09XMjJXZlJGa01lT3dscU1pLWJtWmE4b0h4SDhjUWJXZmhiUVVSVVI1bEcwMFphZ0FqS1Axck9RUjYxcmdORWNJb2Z0LUMwRUdPR2doUk9UTm9MYlRfLWpaVERjRmc0TTVXR3RR?oc=5,grist.org,en,COVID oil price,covid19_pandemic,relevant,0
2020-03-13,"Market Crash, Coronavirus, Oil Price Collapse, Where Do We Go? - Institut Montaigne",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOSENxeGdDLW1Yd2hZb2REdVZ4TGNaXzExWlNvQ0Q0eG1jZmNGeGZyUnFLZ2diWElDZWZneTZyUUt6cWJDWUF3RlI0RlV1QUc5ZnE5cXd0U2luamdfNkhEa0xWMTNzLVBzMVZnRmNLdzJWM3Q1OVJmNEtMS3MyY3huQ29KektIT29XV0VEenhVWnI5b0x5MXhNYlVqa01ORjVmTko3ak5nUHRHSEE?oc=5,Institut Montaigne,en,COVID oil price,covid19_pandemic,relevant,0
2020-03-13,"Gas Prices Are Approaching $2 Amid Coronavirus Pandemic, Saudi Price War - NPR",https://news.google.com/rss/articles/CBMiqwFBVV95cUxQcnVTOE1OODN2VlBNTWRheW5YTzdSTTMybGxqdDc3M0ZUeEd5MEJmN3hkOEtVZVFPemFZS01GdDRZdk9BVGZZSlZqLVJEV0xCbktCWDc5SDJTbjNncEZmVXctQ3FGcE9ILUtfSXhvMFVGc3RjaGt3UjNreTFadDNXRmkzWHdXX3UtUmtsQjRmUENPa0hiX0tkOFg1YWdueEsyeFd6U3pDUmhFc1E?oc=5,NPR,en,COVID oil price,covid19_pandemic,relevant,5
2020-03-13,The Best Ways to Kill Coronavirus in Your Home - Rutgers University,https://news.google.com/rss/articles/CBMic0FVX3lxTE9xQWJfMTQyOEhnRnFkVmtMS0NFWUFublBMSW4tbTh4UWM2ekhNMDNfTDNFOVBXdExlMENITW15MjBLMWNMYWJiMjBKM2t4dHVORnJON0ktS0daUXhrZGJ4N21TMWw4cHEwa3I4VVdjdndSWGs?oc=5,Rutgers University,en,coronavirus crude oil,covid19_pandemic,relevant,0
