date,title,url,source_name,language,keyword,event_name,relevance_label,risk_score
2008-10-17,Oil price below $70 a barrel for first time since April ’07 - The Spokesman-Review,https://news.google.com/rss/articles/CBMimwFBVV95cUxOZW5fVlZ6Q2tWc01yOW8yS2l6bnJLWVQ3RjQ5LURxSUtHYkdidUNIb2NhM2dPZW9YMjFxc1NzMlpVUVRmcC1IQXFKVXlUVGFJYmVJejcwdUtVRDJpeGFmcDJRSWY3WWtxZ3YyZ3F4LWhVRGRIY0pKZGxnejN1M2I1c2h6WTd1VWJJMFdQdmdIeU53eHJrSnlPQVNCbw?oc=5,The Spokesman-Review,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-10-23,Falling prices may force Opec to reduce production - Emirates 24|7,https://news.google.com/rss/articles/CBMiyAFBVV95cUxOaVdyMWhQUHFPV3ZwakhNVFpvbFllY1dxbFJPR1pnQWF0VEJVQ3N6V0J1X0FEQ2NkbFdGUTh4WHUtVmYtZHlpMGF4YlZUVVl6RmxZakVfNHhoUXd1a2QxTE44b1BGX05peG05WmQwSmZqaGRYMTJBSlNtVzNIdVFtVFZvZGlWWl9tSElzZ0FrVW95Z3ZSb2ZxTk12bWVnelZkYmpRNEVodHM3VC1PTElmQUpkUXNOVFcxNG5WTTdSSjhMam85VVhVVNIB4wFBVV95cUxQUUdZaWxuMGtIeEtwZ0tMeGtSZlRDZGhWVHhkMGJUX0hyNGNrT1RIWUpCY2ZiVXFlQWNRWlRjdWZ1THFocUNFTVM4VTFKWjRPcnhrUVFiSFVGMXFsVkpWWWl6UldTY2FBeFlDSTVVazB1V2FWLWNVa0ZTYWVKNi1uV2R2ekkzd0daZlN4S0ZIcEhFamMzMDhvRUpSd2dtbVhIaHl1aUlMamxaV1JGUzdnSF9rMEtCT245Ykd0Ry1HMUtzejFOYV92dHJlcXY2MzhONS1HMllSNUJrMlNKSG8zb1FOUQ?oc=5,Emirates 24|7,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-24,Cleric Says Iran Cannot Gloat Over Financial Crisis - Radio Free Europe/Radio Liberty,https://news.google.com/rss/articles/CBMie0FVX3lxTE00MW5zc1YyMnF4ZkxOTzRDNU9OQlQ4dDZobUFfU0czZGp2eTBkNWphb3g1SDVnZVJ5c05JM25adm1NeF85TG55ZWdyWWVFSHExVy1xbEd3eGpnMXVBT3N2S1lfVjM0eG1MNEFjbC1qTm9fcWc5V0tQWWJQONIBfkFVX3lxTE9jTGEwTDQxcDBRTWxScXo2dkpvb0gyRkMwbzVVaS03dDJqQ2pvZ2FFRHNqMWt2a1BkV3ZGdnkyYmJTNV9FcE1ZaXhZM25LelZNNUJyanpUbERiWUtVRU9fX01fb1k5a19FZEI3WFM1TVJYNGUxYUEtM1BtYU9SUQ?oc=5,Radio Free Europe/Radio Liberty,en,financial crisis oil price,global_financial_crisis,relevant,4
2008-10-24,OPEC Says It Will Cut Oil Output (Published 2008) - The New York Times,https://news.google.com/rss/articles/CBMid0FVX3lxTE1GenE3QkYzTllTQjF3ZTBuYUJobXFJVjF1REhxTG84NmRPU2pTWnliVkhjTmUxcHliY2ZPNjNFSU1WTEV2OEZNMWY3WFJlWkFCSWdoQnk3TmZSS3BXaDV1WGlxbEs1b1NlS29FVTQzc1FHTUJuNHVn?oc=5,The New York Times,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-27,Sudan says financial crisis fallout will impact oil revenue - Sudan Tribune,https://news.google.com/rss/articles/CBMiT0FVX3lxTFBzaGNVTDhLZ3R1V19Ob05xR19NaW9TNWhBcEMtR0xIM1JaSEpvR0ZRM2wzd0FCdnlJYUs5NXVDcl9SLXZldHE2SFJmRzNDMk0?oc=5,Sudan Tribune,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-28,Americas | Is Venezuela's oil boom set to bust? - BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBjajVtNUF6SVNIbURpVWR4bjlNbTdEWV9uMDFzZlJmRnlFdTBrRFFGdm9PbVgtRkltQ3dtS05xc3dYQTZGNTVmemh6a05tVjhsbW5RS3dMLVM0Vlk?oc=5,BBC,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-10-30,Russia pushes an 'OPEC' for natural-gas nations - The Christian Science Monitor,https://news.google.com/rss/articles/CBMiakFVX3lxTE5PYXlBOTItX1VGRWtSazZocFZrVTZxVVVpSkNQWWYyNjR4NzNlaUVSWDB4YjB1el9tdnUtYWhnTVJxWjhjTjNVTDMwbDJrLVJBZURtYXBXOUF5aGtHQUhsRWFCY3BZZFNRZUHSAYMBQVVfeXFMT1hkeGhSWWVRZHV3eF9FdXFxTWtnTkF2blNzQ2FSNDM5MV9pUVN4dlc5b2xTR0FITWxpZHZkSXI1UXFUUVN5RURwWTVZVGQxWUlPOTFhQlZMSmZnR2VFUmNiajJUcWg3MXh6bExaWFZjcTg4ZjE4THBjYXA5bm1zSFFDczA?oc=5,The Christian Science Monitor,en,financial crisis oil price,global_financial_crisis,relevant,2
2008-10-31,Governor of ECCB Backs OECS/Trinidad Union Amid Global Financial Crisis - The St Kitts Nevis Observer,https://news.google.com/rss/articles/CBMisAFBVV95cUxQNE9NRGl3VmpoMVB3YTVDeHQ3S1pZaGNjMF9WNTVXNlRlejltb1U0c2tmTVRZZzRmWVU4UGF3clZ2SVRNR25SZkZFZUNKOWhwazBzY0gzaW9IMnVPdDFuT196ZTRGWUpJZnU0THVLQXdQSXVJOUpvWXhKMll0YVZjQmFGNDlEUkNxWm5SSkNRNkFqMUFNSmtWdEhIdHBYVkdfT0RSNEExTTNfQkNNbFBDTw?oc=5,The St Kitts Nevis Observer,en,global financial crisis crude oil,global_financial_crisis,relevant,2
2008-11-02,Gas dips below $2 in Springfield - The State Journal-Register,https://news.google.com/rss/articles/CBMigAFBVV95cUxQYjZ3MWxtNk83QnFhY0o3QUo4Nk5qb2Q1azJFd1YzTEtqbldfSlZkSkZpTkNuc3JPY0JqVDR6TDEyaGtudldTcjVSckNIUU5adGRnQnFjR3VKN3FmR0pKaWI1RnpyVl9rbnNiRnpQcFQ0WUE3eFc5UVlyZ3o2RDR5QQ?oc=5,The State Journal-Register,en,oil price collapse 2008,global_financial_crisis,relevant,0
2008-11-03,Business | Finance crisis: In graphics - BBC,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9TZnJpRjdWbDB1VURfQk04c1NQTlpma1l1aXk1WTJKalRxUzVJaTJVNWJEZUZqM3FWX1pGTHlfeUdLQ25taU84YXdGdEYwWC13UWZ1aldqRFZwXzg?oc=5,BBC,en,financial crisis oil price,global_financial_crisis,relevant,2
