date,diesel_price_krw
2009-10-14,1391.85
2009-10-15,1390.95
2009-10-16,1391.59
2009-10-17,1391.4
2009-10-18,1391.21
2009-10-19,1390.96
2009-10-20,1395.98
2009-10-21,1398.23
2009-10-22,1399.95
2009-10-23,1405.37
2009-10-24,1411.57
2009-10-25,1415.07
2009-10-26,1418.8
2009-10-27,1429.3
2009-10-28,1434.65
2009-10-29,1437.02
2009-10-30,1439.57
2009-10-31,1441.05
2009-11-01,1442.62
2009-11-02,1442.89
2009-11-03,1445.88
2009-11-04,1446.81
2009-11-05,1447.82
2009-11-06,1449.03
2009-11-07,1450.61
2009-11-08,1451.46
2009-11-09,1451.63
2009-11-10,1453.32
2009-11-11,1454.36
2009-11-12,1454.35
2009-11-13,1455.3
2009-11-14,1455.8
2009-11-15,1456.12
2009-11-16,1455.88
2009-11-17,1454.45
2009-11-18,1454.69
2009-11-19,1453.7
2009-11-20,1454.22
2009-11-21,1454.09
2009-11-22,1454.15
2009-11-23,1453.82
2009-11-24,1452.9
2009-11-25,1453.17
2009-11-26,1452.0
2009-11-27,1451.99
2009-11-28,1451.79
2009-11-29,1451.78
2009-11-30,1450.99
2009-12-01,1449.01
2009-12-02,1448.29
2009-12-03,1446.89
2009-12-04,1447.37
2009-12-05,1447.3
2009-12-06,1447.11
2009-12-07,1446.93
2009-12-08,1447.1
2009-12-09,1447.77
2009-12-10,1447.19
2009-12-11,1447.33
2009-12-12,1446.95
2009-12-13,1446.8
2009-12-14,1446.07
2009-12-15,1443.13
2009-12-16,1442.32
2009-12-17,1440.63
2009-12-18,1440.29
2009-12-19,1442.68
2009-12-20,1442.24
2009-12-21,1437.93
2009-12-22,1434.63
2009-12-23,1433.42
2009-12-24,1431.95
2009-12-25,1431.69
2009-12-26,1431.35
2009-12-27,1431.37
2009-12-28,1430.6
2009-12-29,1431.98
2009-12-30,1432.64
2009-12-31,1432.56
2010-01-01,1433.24
2010-01-02,1433.12
2010-01-03,1433.11
2010-01-04,1432.97
2010-01-05,1435.79
2010-01-06,1438.2
2010-01-07,1440.07
2010-01-08,1442.09
2010-01-09,1444.78
2010-01-10,1446.25
2010-01-11,1447.84
2010-01-12,1450.87
2010-01-13,1454.62
2010-01-14,1456.13
2010-01-15,1457.96
2010-01-16,1459.24
2010-01-17,1459.87
2010-01-18,1460.04
2010-01-19,1458.39
2010-01-20,1458.41
2010-01-21,1457.59
2010-01-22,1457.69
2010-01-23,1457.49
2010-01-24,1457.56
2010-01-25,1456.85
2010-01-26,1453.8
2010-01-27,1452.9
2010-01-28,1451.3
2010-01-29,1450.71
2010-01-30,1449.79
2010-01-31,1449.17
2010-02-01,1447.29
2010-02-02,1444.85
2010-02-03,1444.15
2010-02-04,1443.24
2010-02-05,1443.08
2010-02-06,1442.83
2010-02-07,1442.76
2010-02-08,1442.17
2010-02-09,1442.14
2010-02-10,1442.27
2010-02-11,1442.12
2010-02-12,1442.33
2010-02-13,1442.41
2010-02-14,1442.9
2010-02-15,1442.33
2010-02-16,1441.36
2010-02-17,1441.51
2010-02-18,1440.59
2010-02-19,1440.9
2010-02-20,1440.92
2010-02-21,1441.0
2010-02-22,1440.88
2010-02-23,1442.45
2010-02-24,1443.68
2010-02-25,1443.84
2010-02-26,1445.17
2010-02-27,1445.58
2010-02-28,1446.28
2010-03-01,1446.61
